mcc,auc,auprc,sen,spe,sev_n,sev_spearman,sev_qwk,sev_mae_levels,sev_mae_majority_baseline
0.2036532699906392,0.5238095238095238,0.5532028636836415,1.0,0.0967741935483871,21,0.08492077756084469,0.06666666666666665,0.8571428571428571,0.7619047619047619
0.23369565217391305,0.6594202898550724,0.7253883409137071,0.625,0.6086956521739131,21,0.3466968062972152,0.4076923076923076,0.6666666666666666,0.9523809523809523
0.3182173346783006,0.6555555555555556,0.733537653919918,0.5666666666666667,0.75,25,0.641296383713996,0.42396313364055294,0.48,0.72
0.36791546842757433,0.6944971537001897,0.54384726952593,0.7058823529411765,0.6774193548387096,17,0.5776001502959758,0.35443037974683544,0.7647058823529411,0.8235294117647058
0.47259452835945337,0.792279411764706,0.8956818297121515,0.5588235294117647,0.9375,34,0.04040296724944883,0.047717842323651394,0.9411764705882353,0.8823529411764706
